,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
K42F0H,2,C:USDJPY,2024-05-23 14:50:00+00:00,156.94607624999998,2024-06-03 15:55:00+00:00,156,-1,1,0.946076249999976,103.37479110000007
AABXXB,2,C:USDJPY,2024-05-23 15:00:00+00:00,157.068926625,2024-06-03 15:55:00+00:00,156,1,1,-1.068926624999989,102.30586447500008
K9J7AV,2,C:USDJPY,2024-05-23 16:15:00+00:00,156.9800754,2024-06-03 15:55:00+00:00,156,-1,1,0.980075400000004,103.28593987500008
06DVYL,2,C:USDJPY,2024-05-23 16:20:00+00:00,157.01992539999998,2024-06-03 15:55:00+00:00,156,1,1,-1.019925399999977,102.2660144750001
7FVIAH,2,C:USDJPY,2024-05-23 17:20:00+00:00,156.983075325,2024-06-03 15:55:00+00:00,156,-1,1,0.9830753249999873,103.24908980000009
54N0XQ,2,C:USDJPY,2024-05-23 17:25:00+00:00,157.0159253,2024-06-03 15:55:00+00:00,156,1,1,-1.0159252999999921,102.2331645000001
DM1SOF,2,C:USDJPY,2024-05-23 17:30:00+00:00,156.973075575,2024-06-03 15:55:00+00:00,156,-1,1,0.9730755749999958,103.2062400750001
EBMX73,2,C:USDJPY,2024-05-23 22:55:00+00:00,157.0079251,2024-06-03 15:55:00+00:00,156,1,1,-1.0079250999999942,102.1983149750001
1VOX81,2,C:USDJPY,2024-05-23 23:00:00+00:00,156.98607525,2024-06-03 15:55:00+00:00,156,-1,1,0.986075249999999,103.1843902250001
P2SLBM,2,C:USDJPY,2024-05-24 00:20:00+00:00,157.034925775,2024-06-03 15:55:00+00:00,156,1,1,-1.034925775000005,102.1494644500001
E0Z3KS,2,C:USDJPY,2024-05-24 09:10:00+00:00,156.987075225,2024-06-03 15:55:00+00:00,156,-1,1,0.9870752250000123,103.13653967500011
8QLFXQ,2,C:USDJPY,2024-05-24 09:40:00+00:00,157.0159253,2024-06-03 15:55:00+00:00,156,1,1,-1.0159252999999921,102.12061437500012
PRPPDZ,2,C:USDJPY,2024-05-24 09:45:00+00:00,156.98807519999997,2024-06-03 15:55:00+00:00,156,-1,1,0.9880751999999688,103.10868957500008
