,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
92JOV9,0.026999999999986812,0.00017316239425862003,0.004761186461607476,-0.04574999999996976,-0.12569444444446276,-0.06128399122803785,0.5773374999999703,-0.0008655965166814246,-0.002137637282164654
14RTG2,-0.049000000000006594,-0.0003140381460213712,0.004761186461607476,-0.05891666666664719,-0.11172222222222672,-0.0702474415204506,0.577135416666664,-9.772681030893174e-05,-0.0014324354749615717
HMH7HX,0.0759999999999934,0.0004872357066840623,0.004761186461607476,-0.03833333333332689,-0.11066666666667402,-0.07328910818714007,0.5769472222222021,-0.0003567514681284254,-0.001749495450667376
VTZX3V,0.040000000000020464,0.0002563149598227612,0.004761186461607476,-0.011666666666684478,-0.10466666666667379,-0.07584082602340914,0.5771048611111382,0.0001431296690712209,-0.0012626017123910846
QVKIGQ,0.03200000000001069,0.00020375936019567702,0.00442835453651988,0.11158333333332848,0.06922222222220853,0.024981907894726874,0.568901388888861,0.001919759272501078,0.0023901213371036816
MBCIDO,0.03000000000002956,0.00019100007640021876,0.004523928991961723,0.13008333333334576,0.17938888888889437,0.04048044590641098,0.5746916666666664,0.0009606974376623117,0.0024360199342915363
K42F0H,0.04199999999997317,0.00026760114686188703,0.00430442914404779,-0.04275000000001228,0.23552777777777578,0.05309649122807514,0.5801555555555638,-0.0006203009812854273,0.0015975358381956734
AABXXB,0.03999999999996362,0.00025467163276327395,0.00430442914404779,-0.04099999999999682,0.20355555555556748,0.057224232456121626,0.5814506944444702,0.00015494924881442738,0.002308170356705752
K9J7AV,0.033999999999991815,0.00021658258166432128,0.0037810340426571694,-0.03858333333332098,0.04652777777778283,0.0938519736841954,0.5912486111111264,-0.0004366902592602294,0.0016082395459444494
06DVYL,0.007000000000005002,4.458144392931296e-05,0.0037810340426571694,-0.03741666666667243,0.03236111111112905,0.09664656432750007,0.5919159722222105,-0.0002021678120190617,0.0018002476154616598
7FVIAH,0.02199999999999136,0.00014013899240058962,0.003777187238097902,-0.024583333333310975,-0.008055555555586125,0.12887481725144312,0.5999472222222266,-0.00030513383700749047,0.0014708105539255902
54N0XQ,-0.03700000000000614,-0.00023565077828450144,0.003777187238097902,-0.032250000000004775,-0.007916666666659467,0.13153636695906812,0.6004173611111128,-0.0001395664524702114,0.0016195554638439476
