,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
6CEN8L,2,C:USDJPY,2024-02-29 16:15:00+00:00,149.848746125,2024-02-29 17:25:00+00:00,150.0,1,1,0.15125387500000897,-40.805700899896124
6L7TMA,2,C:USDJPY,2024-02-29 16:35:00+00:00,149.77025565,2024-02-29 17:25:00+00:00,150.0,-1,1,-0.22974435000000426,-41.03544524989613
X656A1,2,C:USDJPY,2024-02-29 16:55:00+00:00,149.83774585,2024-02-29 17:25:00+00:00,150.0,1,1,0.16225414999999543,-40.87319109989613
TMQAM2,2,C:USDJPY,2024-02-29 17:30:00+00:00,150.016750325,2024-03-01 00:15:00+00:00,150.20000000000002,1,1,0.1832496750000132,-40.68994142489612
6PADGT,2,C:USDJPY,2024-02-29 17:55:00+00:00,149.965250775,2024-03-01 00:15:00+00:00,150.2,-1,1,-0.23474922500000162,-40.92469064989612
MUMJLX,2,C:USDJPY,2024-02-29 22:15:00+00:00,149.991250125,2024-03-01 00:15:00+00:00,150.2,-1,1,-0.2087498749999952,-41.133440524896116
1HPLMK,2,C:USDJPY,2024-02-29 22:20:00+00:00,150.01775035,2024-03-01 00:15:00+00:00,150.20000000000002,1,1,0.18224965000001703,-40.9511908748961
QRLTJV,2,C:USDJPY,2024-02-29 22:25:00+00:00,149.987250225,2024-03-01 00:15:00+00:00,150.2,-1,1,-0.21274977499999181,-41.16394064989609
VY9041,2,C:USDJPY,2024-02-29 22:35:00+00:00,149.96625075,2024-03-01 00:15:00+00:00,150.2,-1,1,-0.23374924999998825,-41.39768989989608
0KCHNY,2,C:USDJPY,2024-02-29 23:05:00+00:00,150.03675082499998,2024-03-01 00:15:00+00:00,150.20000000000002,1,1,0.16324917500003266,-41.23444072489605
YUXOMQ,2,C:USDJPY,2024-03-01 00:20:00+00:00,150.2517562,2024-03-01 02:05:00+00:00,150.4,1,1,0.14824380000001725,-41.08619692489603
7ZGHHZ,2,C:USDJPY,2024-03-01 00:55:00+00:00,150.193245075,2024-03-01 02:05:00+00:00,150.4,-1,1,-0.2067549250000127,-41.29295184989604
O00G5J,2,C:USDJPY,2024-03-01 01:00:00+00:00,150.2197554,2024-03-01 02:05:00+00:00,150.4,1,1,0.18024460000000886,-41.11270724989603
7G4ZNF,2,C:USDJPY,2024-03-01 05:10:00+00:00,150.414760275,2024-03-01 08:10:00+00:00,150.6,1,1,0.1852397250000024,-40.92746752489603
0RJB0U,2,C:USDJPY,2024-03-01 06:20:00+00:00,150.4002399,2024-03-01 08:10:00+00:00,150.6,-1,1,-0.19976009999999178,-41.12722762489602
XB96R2,2,C:USDJPY,2024-03-01 06:35:00+00:00,150.383240325,2024-03-01 08:10:00+00:00,150.6,-1,1,-0.2167596749999916,-41.343987299896014
3V5OT6,2,C:USDJPY,2024-03-01 07:20:00+00:00,150.45476127499998,2024-03-01 08:10:00+00:00,150.6,1,1,0.1452387250000129,-41.198748574896
DM7Y1O,2,C:USDJPY,2024-03-01 08:35:00+00:00,150.63276572499998,2024-03-01 10:20:00+00:00,150.4,1,1,-0.23276572499997883,-41.43151429989598
6ORY1R,2,C:USDJPY,2024-03-01 09:10:00+00:00,150.5402364,2024-03-01 10:20:00+00:00,150.4,-1,1,0.14023639999999205,-41.29127789989599
MAPQOD,2,C:USDJPY,2024-03-01 10:00:00+00:00,150.636765825,2024-03-01 10:20:00+00:00,150.4,1,1,-0.236765824999992,-41.52804372489598
T4YJEN,2,C:USDJPY,2024-03-01 10:05:00+00:00,150.587235225,2024-03-01 10:20:00+00:00,150.4,-1,1,0.1872352249999949,-41.340808499895985
VZB5RV,2,C:USDJPY,2024-03-01 10:25:00+00:00,150.39024015,2024-03-01 13:00:00+00:00,150.6,-1,1,-0.20975984999998332,-41.55056834989597
M0D0A1,2,C:USDJPY,2024-03-01 10:35:00+00:00,150.40976015,2024-03-01 13:00:00+00:00,150.6,1,1,0.19023984999998333,-41.360328499895985
W2J888,2,C:USDJPY,2024-03-01 10:40:00+00:00,150.3522411,2024-03-01 13:00:00+00:00,150.6,-1,1,-0.247758900000008,-41.60808739989599
0OEPJ8,2,C:USDJPY,2024-03-01 11:20:00+00:00,150.44976115,2024-03-01 13:00:00+00:00,150.6,1,1,0.15023884999999382,-41.457848549896
F7I7JR,2,C:USDJPY,2024-03-01 11:40:00+00:00,150.37824045,2024-03-01 13:00:00+00:00,150.6,-1,1,-0.22175955000000158,-41.679608099896
LSRNYH,2,C:USDJPY,2024-03-01 12:05:00+00:00,150.40576004999997,2024-03-01 13:00:00+00:00,150.6,1,1,0.19423995000002492,-41.485368149895976
IUFDGF,2,C:USDJPY,2024-03-01 13:25:00+00:00,150.6357658,2024-03-01 15:00:00+00:00,150.4,1,1,-0.2357657999999958,-41.72113394989597
5IBDLU,2,C:USDJPY,2024-03-01 13:35:00+00:00,150.555236025,2024-03-01 15:00:00+00:00,150.4,-1,1,0.15523602499999356,-41.56589792489598
4DP43W,2,C:USDJPY,2024-03-01 13:40:00+00:00,150.6237655,2024-03-01 15:00:00+00:00,150.4,1,1,-0.22376549999998474,-41.78966342489596
J9MLRS,2,C:USDJPY,2024-03-01 14:15:00+00:00,150.60976515,2024-03-01 15:00:00+00:00,150.4,1,1,-0.2097651499999813,-41.999428574895944
P0UTQ1,2,C:USDJPY,2024-03-01 14:20:00+00:00,150.575235525,2024-03-01 15:00:00+00:00,150.4,-1,1,0.17523552500000505,-41.82419304989594
RY97N5,2,C:USDJPY,2024-03-01 14:25:00+00:00,150.62076542499997,2024-03-01 15:00:00+00:00,150.4,1,1,-0.22076542499996776,-42.04495847489591
MGW5WS,2,C:USDJPY,2024-03-01 14:30:00+00:00,150.597234975,2024-03-01 15:00:00+00:00,150.4,-1,1,0.19723497499998643,-41.84772349989592
46DFS7,2,C:USDJPY,2024-03-01 15:05:00+00:00,150.419239425,2024-03-01 15:05:00+00:00,150.4,-1,1,0.01923942499999498,-41.828484074895925
H5172B,2,C:USDJPY,2024-03-01 15:10:00+00:00,150.35124112499997,2024-03-01 15:15:00+00:00,150.20000000000002,-1,1,0.1512411249999559,-41.67724294989597
ENUL5V,2,C:USDJPY,2024-03-01 15:25:00+00:00,150.1642458,2024-03-03 22:00:00+00:00,150.0,-1,1,0.16424580000000333,-41.512997149895966
EPK59S,2,C:USDJPY,2024-03-01 15:40:00+00:00,150.21675532499998,2024-03-03 22:00:00+00:00,150.00000000000003,1,1,-0.21675532499995143,-41.72975247489592
UE9LPF,2,C:USDJPY,2024-03-01 15:45:00+00:00,150.17224559999997,2024-03-03 22:00:00+00:00,150.0,-1,1,0.17224559999996814,-41.55750687489595
4XXJO6,2,C:USDJPY,2024-03-01 16:25:00+00:00,150.21375525,2024-03-03 22:00:00+00:00,150.00000000000003,1,1,-0.21375524999996287,-41.77126212489591
JNDQS4,2,C:USDJPY,2024-03-01 16:45:00+00:00,150.23775585,2024-03-03 22:00:00+00:00,150.00000000000003,1,1,-0.237755849999985,-42.0090179748959
EIS5GA,2,C:USDJPY,2024-03-01 17:05:00+00:00,150.19424505,2024-03-03 22:00:00+00:00,150.0,-1,1,0.19424505000000636,-41.81477292489589
2MFDA0,2,C:USDJPY,2024-03-01 18:05:00+00:00,150.21775534999998,2024-03-03 22:00:00+00:00,150.00000000000003,1,1,-0.2177553499999476,-42.03252827489584
MM84UJ,2,C:USDJPY,2024-03-01 18:10:00+00:00,150.16024589999998,2024-03-03 22:00:00+00:00,150.0,-1,1,0.1602458999999783,-41.87228237489586
2QB3Y6,2,C:USDJPY,2024-03-04 00:25:00+00:00,149.97125062499998,2024-03-04 01:45:00+00:00,150.2,-1,1,-0.2287493750000067,-42.10103174989587
GH0LRZ,2,C:USDJPY,2024-03-04 00:55:00+00:00,150.016750325,2024-03-04 01:45:00+00:00,150.20000000000002,1,1,0.1832496750000132,-41.917782074895854
4C2CR2,2,C:USDJPY,2024-03-04 01:00:00+00:00,149.97425055,2024-03-04 01:45:00+00:00,150.2,-1,1,-0.22574944999999502,-42.14353152489585
LX7RAR,2,C:USDJPY,2024-03-04 01:05:00+00:00,150.004750025,2024-03-04 01:45:00+00:00,150.20000000000002,1,1,0.19524997500002428,-41.948281549895825
S4DEOL,2,C:USDJPY,2024-03-04 04:45:00+00:00,150.198754875,2024-03-04 10:35:00+00:00,150.4,1,1,0.201245125000014,-41.74703642489581
MI72V9,2,C:USDJPY,2024-03-04 04:50:00+00:00,150.20375499999997,2024-03-04 10:35:00+00:00,150.4,1,1,0.1962450000000331,-41.55079142489578
16P990,2,C:USDJPY,2024-03-04 04:55:00+00:00,150.226755575,2024-03-04 10:35:00+00:00,150.4,1,1,0.17324442500000714,-41.37754699989577
T4YXVV,2,C:USDJPY,2024-03-04 10:45:00+00:00,150.42176045,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.22176044999997657,-41.59930744989575
6V080L,2,C:USDJPY,2024-03-04 12:10:00+00:00,150.410760175,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.2107601749999901,-41.81006762489574
IRVFVI,2,C:USDJPY,2024-03-04 12:30:00+00:00,150.36224085,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.16224084999998922,-41.64782677489575
SUX5TQ,2,C:USDJPY,2024-03-04 12:45:00+00:00,150.40376,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.2037599999999884,-41.851586774895736
MKMEVD,2,C:USDJPY,2024-03-04 12:55:00+00:00,150.41376025,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.21376024999997867,-42.065347024895715
U4RRZ5,2,C:USDJPY,2024-03-04 15:00:00+00:00,150.33024165,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.13024164999998789,-41.93510537489573
RM42MU,2,C:USDJPY,2024-03-04 15:10:00+00:00,150.410760175,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.2107601749999901,-42.14586554989572
2947HF,2,C:USDJPY,2024-03-04 15:20:00+00:00,150.3682407,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.16824069999998414,-41.97762484989573
8K5F8G,2,C:USDJPY,2024-03-04 15:30:00+00:00,150.43776085,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.23776084999997238,-42.215385699895705
BJVN56,2,C:USDJPY,2024-03-05 00:15:00+00:00,150.38724022499997,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.18724022499995385,-42.02814547489575
4XI09H,2,C:USDJPY,2024-03-05 00:20:00+00:00,150.41276022499997,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.21276022499995406,-42.240905699895706
Q2F6KA,2,C:USDJPY,2024-03-05 00:55:00+00:00,150.36424079999998,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.1642407999999591,-42.076664899895746
9W6IEI,2,C:USDJPY,2024-03-05 01:30:00+00:00,150.38224035,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.1822403499999723,-41.894424549895774
BX5AKY,2,C:USDJPY,2024-03-05 01:35:00+00:00,150.43376075,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.23376074999998764,-42.12818529989576
WEER75,2,C:USDJPY,2024-03-05 07:50:00+00:00,150.37024065,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.17024064999998245,-41.95794464989578
VRFZF3,2,C:USDJPY,2024-03-05 08:00:00+00:00,150.4237605,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.22376049999996894,-42.18170514989575
MQF08N,2,C:USDJPY,2024-03-05 08:05:00+00:00,150.3722406,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.17224059999998076,-42.00946454989577
79G678,2,C:USDJPY,2024-03-05 08:20:00+00:00,150.4397609,2024-03-05 13:30:00+00:00,150.20000000000002,1,1,-0.23976089999999317,-42.24922544989576
5F94KZ,2,C:USDJPY,2024-03-05 08:30:00+00:00,150.373240575,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.17324057499999412,-42.07598487489577
6DIELD,2,C:USDJPY,2024-03-05 09:25:00+00:00,150.379240425,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.17924042499998905,-41.89674444989578
NA82IN,2,C:USDJPY,2024-03-05 09:50:00+00:00,150.393240075,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.1932400749999772,-41.7035043748958
U5JVTB,2,C:USDJPY,2024-03-05 10:20:00+00:00,150.397239975,2024-03-05 13:30:00+00:00,150.20000000000002,-1,1,0.1972399749999738,-41.50626439989583
